date,total_daily_fees_btc
2018-07-01,16.7928896
2018-07-05,19.76600519
2018-07-09,19.92606527
2018-07-13,19.53514153
2018-07-17,24.94209666
2018-07-21,17.37819099
2018-07-25,26.82417337
2018-07-29,15.67077716
2018-08-02,25.20903778
2018-08-06,17.7504862
2018-08-10,20.41451761
2018-08-14,26.45582537
2018-08-18,16.45331646
2018-08-22,24.27418043
2018-08-26,27.80300602
2018-08-30,24.10101603
2018-09-03,19.91598267
2018-09-07,27.92194982
2018-09-11,23.27470384
2018-09-15,15.69995673
2018-09-19,17.09335521
2018-09-23,14.47737832
2018-09-27,23.65350638
2018-10-01,21.82334691
2018-10-05,21.33672301
2018-10-09,16.66631934
2018-10-13,13.28476496
2018-10-17,18.8500803
2018-10-21,12.46404029
2018-10-25,17.53993992
2018-10-29,19.6041759
2018-11-02,18.32471846
2018-11-06,19.18392815
2018-11-10,16.64920253
2018-11-14,25.82337117
2018-11-18,18.03746701
2018-11-22,39.13421764
2018-11-26,38.27901151
2018-11-30,40.77812171
2018-12-04,31.50009203
2018-12-08,19.7523634
2018-12-12,22.35779149
2018-12-16,14.84875261
2018-12-20,27.62806589
2018-12-24,23.01715097
2018-12-28,17.97068908
2019-01-01,11.22870449
2019-01-05,12.27107591
2019-01-09,24.16978699
2019-01-13,14.17709438
2019-01-17,23.48759589
2019-01-21,19.91907516
2019-01-25,24.82339222
2019-01-29,23.14980149
2019-02-02,18.92618462
2019-02-06,21.79051765
2019-02-10,13.62075475
2019-02-14,26.180398
2019-02-18,29.40410079
2019-02-22,39.01280561
2019-02-26,35.84517142
2019-03-02,25.32153705
2019-03-06,38.43684345
2019-03-10,19.08668276
2019-03-14,37.56437664
2019-03-18,22.37480548
2019-03-22,27.14701994
2019-03-26,36.41495629
2019-03-30,54.67372903
2019-04-03,142.10298824
2019-04-07,85.51644481
2019-04-11,115.28509796
2019-04-15,78.96972247
2019-04-19,78.43301725
2019-04-23,96.48121035
2019-04-27,54.42092725
2019-05-01,65.62521893
2019-05-05,62.87230397
2019-05-09,106.95654809
2019-05-13,112.20050336
2019-05-17,227.26659937
2019-05-21,202.4814146
2019-05-25,128.11880175
2019-05-29,187.08362645
2019-06-02,118.4455402
2019-06-06,122.18994068
2019-06-10,101.83001618
2019-06-14,117.94954717
2019-06-18,116.53825829
2019-06-22,122.47914731
2019-06-26,184.06503874
2019-06-30,104.91860437
2019-07-04,83.8420840199999
2019-07-08,67.46056127
2019-07-12,67.42668665
2019-07-16,62.69846283
2019-07-20,50.04991704
2019-07-24,49.90886061
2019-07-28,26.46571032
2019-08-01,46.73246753
2019-08-05,42.2581814
2019-08-09,65.33402972
2019-08-13,75.09047834
2019-08-17,35.38250195
2019-08-21,52.22587338
2019-08-25,21.57904241
2019-08-29,33.917443
2019-09-02,28.76124703
2019-09-06,37.39638382
2019-09-10,37.34868133
2019-09-14,21.0247188
2019-09-18,34.12588668
2019-09-22,20.52728871
2019-09-26,32.64172934
2019-09-30,41.0132903
2019-10-04,27.80367596
2019-10-08,27.65920023
2019-10-12,20.76242438
2019-10-16,29.13647841
2019-10-20,15.84344804
2019-10-24,28.9599249
2019-10-28,37.98415405
2019-11-01,40.18774408
2019-11-05,43.73232482
2019-11-09,29.44260954
2019-11-13,34.31516352
2019-11-17,21.08122965
2019-11-21,36.85944226
2019-11-25,32.18493307
2019-11-29,32.70649438
2019-12-03,25.47734062
2019-12-07,18.05659965
2019-12-11,24.60426083
2019-12-15,20.4478166
2019-12-19,28.71547007
2019-12-23,18.87107421
2019-12-27,17.11633792
2019-12-31,14.84211896
2020-01-04,12.31216518
2020-01-08,30.83081053
2020-01-12,14.53164303
2020-01-16,23.85247351
2020-01-20,17.74334005
2020-01-24,16.10082373
2020-01-28,22.98737848
2020-02-01,17.4815999
2020-02-05,25.44140813
2020-02-09,19.8217869
2020-02-13,35.47858608
2020-02-17,25.29770103
2020-02-21,23.54449483
2020-02-25,24.54482939
2020-02-29,18.50395585
2020-03-04,24.25737051
2020-03-08,16.14238732
2020-03-12,59.16829292
2020-03-16,61.56626918
2020-03-20,79.98994299
2020-03-24,44.74357832
2020-03-28,28.81999627
2020-04-01,26.74327122
2020-04-05,13.64940917
2020-04-09,23.29595386
2020-04-13,16.74379536
2020-04-17,25.54078133
2020-04-21,23.37622201
2020-04-25,27.81417372
2020-04-29,51.72660237
2020-05-03,57.28031251
2020-05-07,88.31823092
2020-05-11,88.60442418
2020-05-15,161.77900478
2020-05-19,182.34876244
2020-05-23,108.03281588
2020-05-27,77.89905605
2020-05-31,61.02644621
2020-06-04,62.37744471
2020-06-08,41.72247948
2020-06-12,29.91881048
2020-06-16,50.59742513
2020-06-20,30.01002493
2020-06-24,42.3573449
2020-06-28,19.69907106
2020-07-02,56.01403666
2020-07-06,36.90829526
2020-07-10,48.41811415
2020-07-14,62.95443097
2020-07-18,76.31263773
2020-07-22,143.27483781
2020-07-26,76.48811017
2020-07-30,179.95866069
2020-08-03,130.16320882
2020-08-07,137.20910291
2020-08-11,151.68404592
2020-08-15,67.51446166
2020-08-19,147.58221747
2020-08-23,59.10621225
2020-08-27,122.89984729000001
2020-08-31,91.53783350000002
2020-09-04,155.46345969000004
2020-09-08,84.06185256999996
2020-09-12,58.11575528999997
2020-09-16,77.67308339000006
2020-09-20,33.00982992
2020-09-24,82.50485829000002
2020-09-28,56.72923702999997
2020-10-02,122.51219145000005
2020-10-06,113.31139879999998
2020-10-10,75.84989664999998
2020-10-14,73.04920249999999
2020-10-18,36.45097174999999
2020-10-22,166.97812487000004
2020-10-26,111.29083665
2020-10-30,262.34694254
2020-11-03,289.3099895599999
2020-11-07,135.2343624300001
2020-11-11,107.57878081
2020-11-15,42.433354599999994
2020-11-19,94.51871958000002
2020-11-23,56.545846030000014
2020-11-27,84.21494944000001
2020-12-01,145.30838284999993
2020-12-05,69.64763484000004
2020-12-09,72.45729357
2020-12-13,39.24154715
2020-12-17,162.99271891000006
2020-12-21,138.56269221999995
2020-12-25,92.4849457699999
2020-12-29,105.85291042999998
2021-01-02,79.69906721999999
2021-01-06,128.51898515
